sentence	sentence_id	locale	reason
உலகின் நீண்ட கடற்கரை அமெரிக்காவின் மியாமி கடற்கரை.	5f59926260c5737a4e38fe2530d4ae2dfb4ea84f45a69fc9acbfdaf8278c988c	ta	grammar-or-spelling
உலகின் நீண்ட கடற்கரை அமெரிக்காவின் மியாமி கடற்கரை.	5f59926260c5737a4e38fe2530d4ae2dfb4ea84f45a69fc9acbfdaf8278c988c	ta	???????? ??????????? ??????? ????????? ?????? ????? ??????????????? 
பையன் நிமிர்ந்து பசிபசி என்றான்!	ea322dbd026365cd90cb2bd9eff461241ea2f9a3c8102bc6cac038c184f304a9	ta	grammar-or-spelling
பையன் நிமிர்ந்து பசிபசி என்றான்!	ea322dbd026365cd90cb2bd9eff461241ea2f9a3c8102bc6cac038c184f304a9	ta	offensive-language
பையன் நிமிர்ந்து பசிபசி என்றான்!	ea322dbd026365cd90cb2bd9eff461241ea2f9a3c8102bc6cac038c184f304a9	ta	difficult-pronounce
பையன் நிமிர்ந்து பசிபசி என்றான்!	ea322dbd026365cd90cb2bd9eff461241ea2f9a3c8102bc6cac038c184f304a9	ta	different-language
வகுத்தஅந்தக் குத்தகைக்குச் சீட்டுமுண்டோ	cbf36885ca3c03574e91964442011d829852957c9f3a1c72b5d9a21720f24935	ta	difficult-pronounce
"""அன்னியர்ரு தான்""என்ற பேதமி லாதவர் தோழா."	1b79ac40bc748e4b3d9ba0c2df9e2520d45a6244815d67ceb3dc79e2908c5d19	ta	grammar-or-spelling
"நிறைகுணப் பேறெய்தும் 'தொழல்' எதுவெனவும்"	205ad36557893e5ef11a3355df725ca52c5b941ac397d3ea55e4149fcfc2875b	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
கொஞ்சம் அவமதித்திக் கோவை உதடு	4c2d716b2132a57e16ad12a92385242d143f796fa091f79fb25e231005ae6e33	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
தெருள்கொள்ள ஒளிதந்து திகழ்கின்ற மொழியெ.	725bf42baae6425a364d82d7fa69dec38645925634c990f1d75212ab0228895b	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
நான் பெரியவனாதும் ஒரு கார் வாங்குவேன்.	5bf8e9e93686ea14896a00d35e990f362b197621b97feb3e790a3e8d8632339c	ta	grammar-or-spelling
ஆழ்கமுஎன்றான்! தலைகுனிந்தான் கத்தி யின்கீழ்!	7a9845a0ecf5fd77f893fe5a49f33da80db37d08d515ad043c422187e93e20bc	ta	grammar-or-spelling
யுஎன்குலம்ரு என்றுனைத் தன்னிடம் ஒட்டிய	67bebef076327bf6a0514f0a94cd365da2b164a815c15c5bf643feb8191fc5c0	ta	grammar-or-spelling
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	grammar-or-spelling
தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம்	5dabd9c498f2f75c52a521ca175ed1bfbfc5c9c66535971b351ab99a06eebf33	ta	grammar-or-spelling
யுகணைவிடு பட்டதும் லட்சியம் தேடும்ரு நம்	81f796c4e94e40d57b67c4e68eddaae7bbc96b999272ecd02a2dc5b7ba453991	ta	grammar-or-spelling
யுகணைவிடு பட்டதும் லட்சியம் தேடும்ரு நம்	81f796c4e94e40d57b67c4e68eddaae7bbc96b999272ecd02a2dc5b7ba453991	ta	grammar-or-spelling
அவ்வழக்கைப் பொதுமக்கள் தீர்ப்ப தேதான்	9fd2ac1c8b6d3bab3cf80fe433fcc86431bcae7e29e66f89cad4d6941aa8f6c9	ta	????? ??????? ???????? ????? ?????????????? ????????????
வளர்க்கும் முறையில் மாற்ற மில்லையே!	456c5d3072db8430cf39b33bffb13f11b21fc84241c8100bd268fac7826c6fa0	ta	???????????
நிறையூதியம் அடைவாய்;	aa184ae1396e392c3a3c7c8be998f9f2948f6791f2f3cabade0a56642a9b24c7	ta	???????????
"""காட்டினேன் குழந்தையைக் கல்லில் தூக்கிப்"	ad6b14b90c659e25caef19bd813c1535d1b9bd13f4b384ec0613884acd48aee3	ta	???????????
வாய்ச்சொல்லோ என்றுரைத்தேன். வாய்ச்சொல்என்றான்.	ae4cc604fbb8b66c0313fcb562d9c12e09eb420802c800d6e16f69df2f204ec1	ta	????????????????? ?????? ???????? ???????? ?????? ????????
இயம்பினாள். சங்கிலி எழுப்பினாள். எழுப்பி	8f2bcfa0bd36654925fe3a4ab098d61d29311d903724245c8c5a695e0b8b08a8	ta	???????????
தூற்றும் பழியை ஏற்க அஞ்சி	abe3ea2d3de2ff292916f22960e48d5d55bc9853322e8224664343ad3a92a2c2	ta	???????????
அன்போடு இயைந்த வழக்கென்ப ஆருயிர்க்கு என்போடு இயைந்த தொடர்பு	af3241e8089ded4c355fb4a8f56085f3fc255293ca12bb559c11f5c3d76378a0	ta	???????????
இனிமைத் தமிழ்மொழி எமது - எமக்	95f86956334ee77225f6c9372b4441ee150ca1e6e513c633c024cd1f89b7a4dd	ta	???????????
தூய்மை படைத்த உடம்பினையும் - பசுந்	918285614ed7582ad80956e430b588f3a69fb5e2026925efb42854e818fa4225	ta	???????????
வைத்துள்ளேன்; அன்னோன் நடைப்பிணம்போல் வாழ்கின்றான்.	82d4ed0c274b1e6c29935e12b59ffaa247bee51bf120102118c1a04400aaebf4	ta	???????????
இப்போ தேநான் இவ்விடம் விட்டுச்	a313254e5554a170f0f4754ccfe949a2b956497a83c8dfc1e35d228615f5c6dd	ta	???? ?????????? ??????? ???????????? ????????? ?????
ஞாயம் தராவிடில் விடுதலை மேற்கொள்!	714e96a810607c2a2997322bef576b43bf9a74281316bfb24f0efc64d6ca7fa0	ta	???????????
என்னென்ன மோபுகல்வார் - அந்த	a227fed5f4e4fc828682e89632c277cc248fa725ac08e49d21456d5d228c53c5	ta	???? ?????????? ???????
நீலச் சுடர்மணி வானம் - ஆங்கே	620944d9e73c62d58650461fd1a22ca92f6269c042c866b41166ab3e60f14fc0	ta	???????????
என்ன வேணும்னாலும் பண்ணு	ad63e2ac91e830d719dd5869a2b00a164828ac5e7071cc50045c86069552635a	ta	???? ???????? ???????
முகநக நட்பது நட்பன்று; நெஞ்சத்து அகநக நட்பது, நட்பு.	9aa42742f1ad270a1216fcb824da16e6887945fc3fed7b216029abb9b74e9d1a	ta	???????????
மெல்லியின் பெற்றோர்கள் - வந்து	8fb56e9f9f9ff47d71bb95ee908224e0f73e8adaa0e5dad9e05a43292172487f	ta	???????????
ஓவியம்செய் வோம் நல்லஊசிகள் செய் வோம்	a5050f398892412dee0b55fc5dc57dc81e91c8ab6754977caa24bdac16f35510	ta	???????????
சம்பா திக்கின்ற சரித்திரக் காரர்களால்	8cdaaaa7ed45d4277e5487430b333973174239c1b643227e71a2d63b6454698e	ta	???????????
வெடுக்கென்று தான் கடிக்கும்.	a216edb871ffd2e05cf2e5c15695fc938a415087387461c4ee98ca2709abe6c6	ta	???????????
பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித் தேரினும் அஃதே துணை.	a9900cdb7ee7343e0dcf1869229883c4c8525706b9d32c97be5edf7f94339213	ta	???????????
சொற் சோர்வு படேல்.	9bd4da17a200d4ae067d76d15b09aac786068a3d460ff002c1c44c1f559434ca	ta	???????????
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	different-language
உங்களுடைய பொழுதுபோக்கு என்ன?	3de0d0343f092d7b624ac22877d671f947678ef5d178f0b38ffee61ba7ac826d	ta	???????????
சாரல் அடைவோமே, காதலுக்கு தக்கஇடம்.	74a993db50b24410f5add5c6da52ec8fd1f57c0a80de546e122f853579f98bd2	ta	???????????
தரமுண்டு தமிழருக் கிப்புவி மேலே	63e6d00080a2b386b1eac4218110f84d1f6900fa3fe635bad13d9f8f6edf9a37	ta	???????????
கைம்பெண் ணாய்ப்போன தாலே	7fa860c65ebe593b73823c337478632cc2bb3ac75e93604f962efc8a26f2941a	ta	???????????
நிறையூதியம் அடைவாய்;	aa184ae1396e392c3a3c7c8be998f9f2948f6791f2f3cabade0a56642a9b24c7	ta	???????????
வண்மை உயர்வு மனிதர் நலமெல்லாம்	9cc88bf71ceeac662934ad1b7eab986138ae3823d8e944c7719d47be56004339	ta	???????????
கூப்பிடு முன் வந்து கூடிவிட்டார்.	8b914a52ad9e1293aa62d129339ddb2d4788edfe433b6dbf9878bb417aa2d74b	ta	???????????
தெருள்கொள்ள ஒளிதந்து திகழ்கின்ற மொழியெ.	725bf42baae6425a364d82d7fa69dec38645925634c990f1d75212ab0228895b	ta	???????????
அன்பிற்கும் உண்டோ அடைக்கும்தாழ்? ஆர்வலர் புன்கண்நீர் பூசல் தரும்	74c2c9f3c64fa3fa6fcf7becfec08e4aab22ce3ab0f3f85f2f96f79c657fe6e4	ta	???????????
எனக்கு படிக்க ஆசையாக இருக்கிறது.	7491bb90d80716047a738cfba482801e609a5ec4e5ec2f86652bb50db9f25ff6	ta	???????????
பத்துமா தம்செல்லப் பகற்போதில் ஓர்நாள்	a761f5f8ffbd540f72a2b53e591eea615aed201592b040d6cfc28e23e7a276e0	ta	???? ???????? ???????
பூந்தி கட்டிய பொட்டணம் அவிழ்த்துக்	add87aab145b88bdae0807e04fb85b2d66de253e4193d3380345951cfd8defd8	ta	???????????
விழிபெற்றுப் பதவி கொள்வார்	853bc362254ee69b7c1a2c039d8b5f9383e6620e1f6a551320e8ecd776e351fc	ta	???????????
இலகுவது புலவர்தரு சுவடிச் சாலை;	8493409a2561ed61c9d77bece0e3c16d63f07c2d88d0c90ccd51a16ef509a402	ta	???????????
என்நாட்டை நான்ஆள்வேன்! எள்ளளவும் ஐயமில்லை!	a5849ee44830f07d9a897109385014bb6193cf0b5177045703f29c6482dbec47	ta	???????????
வீட்டுக் காரி மிகவும் சினந்து	4a38a111465a1f52639877d784a86a8054f4fd5c4a14a5f3e64274971f669c0e	ta	???????????
மிகவும் குளிரடிக்கின்றது	733e1ef9e5e83bd2392863274e3b155fcedb2370424fa1398dca1fdf17d3c1fd	ta	???????????
பழிப்பன பகரேல்.	7090cf3ab3030ac62565e2c31f79157dcd73adf0ece38774a79e599addb33af0	ta	???????????
வாழியஇங் கிவையெல்லாம் எழுதவரும் கவிதை!	9548c2e5ee4533d3ea00596effad6cf6d139137ef58f5698b11ecddf28379056	ta	???????????
மனங்கெட்டுப் போய்விட்டார்; விஜய ராணி	9b70efd22cd95f847201c97ea3f6ed71dcc76102843ba155015d9e6dc310609d	ta	???????????
இமையாது நோக்கினான் முழு நிலாவை!	ad7d5faf72172b47c5924a103bb57164a4db7c467c09a7f0693d13f900157a93	ta	???????????
காண நினைத்த முழுநினைப்பில் - அன்னை	7424c9a2b15c2a3b5779d7cdb9df095bd63e765a5d1c7842ab6fc9c371a2fcdc	ta	???????????
பிந்தியந்தக் காரிருள்தான் சிரித்த துண்டோ?	94a1cb1e86808643c67152b0788463c703720a22649c9b3f164070198a83c2b7	ta	???????????
வீரங்கொள் கூட்டம்; அன்னார்	ad60db0df73c4ff85f03ab135c87d24caa2dec194cbb03a9c04783025f55d914	ta	???????????
இதயத்தில் சிறிதேனும் அன்புதனைச் சேர்த்துப்	a6d0edcaf932faa65c5a76332b803d77e759a0c3ef7e37789ee7771d3f5de45c	ta	???????????
கப்பல் களாக - இனித்	a7d0ba2bd80dbda54200d3c83be1f4cc4e56a2ed8cd1d8d6b7b9923669dac061	ta	???????????
தூக்கிவிட்டான்! தூக்கிவிட்டான்! தூக்கிப்போய்த் தூளாக	6a30ed3eaab1dd5302ab88a99cb85c4338691ec927c5f82731da8e60ea774a88	ta	???????????
தமிழ்என்று தோள்தட்டி ஆடு! - நல்ல	b02e63b576b9cd0318baf56114a63f3b530278f94859559a0dbecb6a0cfb1be8	ta	???????????
தந்தையே உலகம். அதில், தாயே கடவுள்!	6f2f0fbe2e24827cd692fc1d5e8b5270373c1d80a212249c9bfc5bcbd758dba8	ta	???????????
சிறுபடி அளவில் திடுக்கென உமிழ்ந்தார்.	aeb43399ca1fbb644bfd836884347d621fe76feeae849d800648128d109d54ca	ta	???????????
ஆடு கின்றாய்; அலகின் நுனியில்	89c4a44c1b3c587c2b95ebabd558e2c1c5f86780321414988c4a2cdc5ff2fae6	ta	???????????
உயர்மலைகள், சோலை,நதி இயற்கைஎழில் கள்பார்!	6f8cff707aa5cb24d7a9964f1f7bee82d31ecab712967734dd70e76d61a13130	ta	???? ???????? ???????
வந்த உதாரன்எழில் மங்கைக்குக் கைலாகு	9f1e1e179c8c8f08d0d13d4ea419fae19bae038c81885b5f20baf30da4c3b588	ta	???????????
வேற்றூர்போய் நள்ளிரவில் வீடுவந்த	a90ec4613301f832e1c1b542de8cd041db0746a31c826b549981b7c199132456	ta	???????????
நான் நேற்று விடுமுறையில் இருந்தேன்.	946f45b763ad4bff30496c00302b67cdfedb4962855b827492f892f79828264b	ta	???????????
கனியிடை ஏறிய சுளையும் - முற்றல்	a3252e67a0219ab1b9d967aec96a8ee045f3e84ce546ba2ef05dac4371228cd5	ta	???????????
பழிப்பன பகரேல்.	7090cf3ab3030ac62565e2c31f79157dcd73adf0ece38774a79e599addb33af0	ta	???????????
நல்லகூட் டுத்தொழில்கள் நாட்டிடல் மேலா?	aa66112dbf76469c4472aaccdf981b428f79dfb630e056cf28482940cf7c4469	ta	???????????
முகநக நட்பது நட்பன்று; நெஞ்சத்து அகநக நட்பது, நட்பு.	9aa42742f1ad270a1216fcb824da16e6887945fc3fed7b216029abb9b74e9d1a	ta	???????????
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	???????????
வெங்குருதி தனிற்கமழ்ந்து வீரஞ்செய் கின்றதமிழ்	83788034ac549c052668dbdc223627f67bde1c333b4ffee5bf3fe0baaa916ecc	ta	???????????
ஏற்றுப சரித்தும் இருக்கை தந்தும்	a13db3251833b7ed697e3282605e67e300fee03efbee4c74749267f6721c5e07	ta	???????????
பிரிவிலை எங்கும் பேத மில்லை	ae4e3eff0942a60d6357a1e4082273054bc0a4c676e412dce9cf7b1455f99f2c	ta	???????????
தந்தஅக் காலத்திலே - எங்கள்	a507ee711c9c0ab794eb96bb1b5cfeca8d0ac040a9945e6f70b86ddef030ab9d	ta	???????????
இதயத்தில் சிறிதேனும் அன்புதனைச் சேர்த்துப்	a6d0edcaf932faa65c5a76332b803d77e759a0c3ef7e37789ee7771d3f5de45c	ta	???????????
பிறர் மனதை புண்படுத்தகூடிய வார்த்தைகளை தவிருங்கள்	ac3cce1d7c7a85b4fd62c66e3d9ba02831c18d62a17bc7158d716d8acec73950	ta	???????????
"புகல்வேன்: ""உடைமை மக்களுக்குப் பொது!"""	9bfe7ab3ffbe13415ebc31f528bac55ba98f1f4070661ebde85b2731f59bbbbb	ta	???????????
அவனுடல் கொஞ்சம் அசைந்தது. வாய்எயிறு	302113c1bad9e90bc3f44c92bc1edc6a0f9f503312c9ce674f389251f39b7265	ta	???????????
இக்கணம் மகுடம்பூண ஏற்றதோர் சூழ்ச்சிகேட்போம்;	b022f66b8ea1e79b8e0829185c5f4a9b815b6cc63bc8cdf4805f6adba924c94e	ta	???????????
கருத்தலுத்துப் போனோமே! கடைத்தேற மக்கள்	a0946ffbdeca9c313c8f7ed7b315dd70705a1c2bd34c33ef7d8fb6f54d646b06	ta	???????????
ஆர்ந்த ஒழுக்கநூல், நீதிநூல் அறிந்தாள்;	5dfe24053d08624d0dbc211aa143dc6957e11f26511e4324fab8b2e74f175f03	ta	???????????
"""நீலவான் ஆடைக்குள் உடல் மறைத்து"	8cf182b4951ecf7f0def8a59b38ce597ca4176e84b592f9ff283158492d3b1e8	ta	???????????
நாடிய ஓர்தொழில் நாட்டார் பலர்சேர்ந்தால்	9df8f4c5100f69097e155723ab342c4edf22173bcb711235b7df3170c88900ea	ta	???????????
நான் பெரியவனாதும் ஒரு கார் வாங்குவேன்.	5bf8e9e93686ea14896a00d35e990f362b197621b97feb3e790a3e8d8632339c	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
சாதிஎனும் சங்கிலிஎன் தாளைப் பிணித்ததடீ!	7476e40ea7504f40956a65cab77db63864788ba6c8ba84ad3f21e2bf45ada396	ta	grammar-or-spelling
தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம்	5dabd9c498f2f75c52a521ca175ed1bfbfc5c9c66535971b351ab99a06eebf33	ta	grammar-or-spelling
இங்கிலந்து தேசம் இருந்தொருவன் பேசினான்;	c65f9310c1f6cf2d63a65212f92c0c2ec48a907819ce87826f95c37938c3602d	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
இன்பத்துறையில் இருப்பர்ரு என்று எண்ணினேன்.	c844e004fa53b4387ee00060ede50220fe7c93323e8b6e14f2ede4ee7ed5a006	ta	grammar-or-spelling
இங்கிலந்து தேசம் இருந்தொருவன் பேசினான்;	c65f9310c1f6cf2d63a65212f92c0c2ec48a907819ce87826f95c37938c3602d	ta	grammar-or-spelling
நின்று நகைத்துத்தன் நேசனைக்கை யால்அணத்தே	cd0afafb45a1c3731251db76badbbf84c146f83a3d367950287e2191971a0ff1	ta	grammar-or-spelling
புமக்களுக்குப் புவிப்பொருள்கள் பொதுமுவென்று சர்க்கார்	21225349d8f9b3d6d9c866b77b1f54243b58b673babfe79ffd9f17aa38dc9920	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம்	5dabd9c498f2f75c52a521ca175ed1bfbfc5c9c66535971b351ab99a06eebf33	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	grammar-or-spelling
யுஒருபொருள் தனிருஎனும் மனிதரைச் சிரிப்போம்!	d1dd1c14653c04c6fe95567a366bb1b6000796fb6487334a1fbdf35f51cd1c85	ta	grammar-or-spelling
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
சுரக்கின்ற காதலொடு சென்றான். புதொடாதீர்கள்!மு	d40e18c8c942e2ca758a5cdb948c01cd7117cd9bb8af0404f0a960c84cd2d4bc	ta	grammar-or-spelling
தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம்	5dabd9c498f2f75c52a521ca175ed1bfbfc5c9c66535971b351ab99a06eebf33	ta	grammar-or-spelling
தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம்	5dabd9c498f2f75c52a521ca175ed1bfbfc5c9c66535971b351ab99a06eebf33	ta	grammar-or-spelling
பெரியாரே, ஆவ்வாறே! அட்டி யில்லை.	f8daf34b6156af2747a2544134d2a35644981d21af6509544b4bb85ae74b7b32	ta	grammar-or-spelling
இன்பத்துறையில் இருப்பர்ரு என்று எண்ணினேன்.	c844e004fa53b4387ee00060ede50220fe7c93323e8b6e14f2ede4ee7ed5a006	ta	grammar-or-spelling
மாகாசோதி யிற்கலந்த தெனது நெஞ்சும்!	e3b1ff593693efce364470e665caf32b2ef13cd69692a4966bd0f8c827186221	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
யுஒருபொருள் தனிருஎனும் மனிதரைச் சிரிப்போம்!	d1dd1c14653c04c6fe95567a366bb1b6000796fb6487334a1fbdf35f51cd1c85	ta	grammar-or-spelling
இன்பத்துறையில் இருப்பர்ரு என்று எண்ணினேன்.	c844e004fa53b4387ee00060ede50220fe7c93323e8b6e14f2ede4ee7ed5a006	ta	grammar-or-spelling
யுஒருபொருள் தனிருஎனும் மனிதரைச் சிரிப்போம்!	d1dd1c14653c04c6fe95567a366bb1b6000796fb6487334a1fbdf35f51cd1c85	ta	grammar-or-spelling
வல்லமை யுமானிடத் தன்மைருஎன் றதேர்!	1aaeced8daf570f5c9d4b9f62ed9d8824cf640814190e3f12796676671abef67	ta	grammar-or-spelling
உன்னத இம மலைபோல்	f7c0824929d7353718cc5b3236eaf1964ea7a9183dad2e42f7fc8743419b6d0d	ta	grammar-or-spelling
உன்னத இம மலைபோல்	f7c0824929d7353718cc5b3236eaf1964ea7a9183dad2e42f7fc8743419b6d0d	ta	grammar-or-spelling
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	grammar-or-spelling
கதைமுடிவில் யுபடம்ருஎன்ற நினைவுவந்த தன்றே!	07502a5255788a88243891c2fb9d6e9f589a16aa75aeb570259015a219ac4e96	ta	grammar-or-spelling
உதையயப்ப ராகிவிட்டால், ஓர்நொடிக்குள்	af5f4ec2c50ad97aa4f52238b5e2e4c3e1ebb73f3c60c9cdb20e60d978880d37	ta	grammar-or-spelling
